Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
p,P1,Ethernet1,pe,PE1,Ethernet1,True
p,P1,Ethernet2,pe,PE2,Ethernet2,True
p,P1,Ethernet3,p,P2,Ethernet3,True
p,P1,Ethernet4,rr,RR1,Ethernet4,True
p,P1,Ethernet5,other,EL1,Ethernet5,True
p,P1,Ethernet6,other,EL2,Ethernet6,True
p,P2,Ethernet1,pe,PE3,Ethernet1,True
p,P2,Ethernet3,p,P1,Ethernet3,True
p,P2,Ethernet4,rr,RR2,Ethernet4,True
p,P2,Ethernet5,pe,PE4,Ethernet5,True
pe,PE1,Ethernet1,p,P1,Ethernet1,True
pe,PE1,Ethernet2,rr,RR1,Ethernet2,True
pe,PE1,Ethernet3,l3_interface,,,True
pe,PE1,Ethernet3.10,l3_interface,,,True
pe,PE1,Ethernet3.11,l3_interface,,,True
pe,PE2,Ethernet1,rr,RR1,Ethernet1,True
pe,PE2,Ethernet2,p,P1,Ethernet2,True
pe,PE2,Ethernet4,l3_interface,,,True
pe,PE2,Ethernet4.10,l3_interface,,,True
pe,PE2,Ethernet4.11,l3_interface,,,True
pe,PE3,Ethernet1,p,P2,Ethernet1,True
pe,PE3,Ethernet2,l3_interface,RR2,Ethernet2,True
pe,PE3,Ethernet4,l3_interface,,,True
pe,PE4,Ethernet2,l3_interface,,,True
pe,PE4,Ethernet2.10,l3_interface,,,True
pe,PE4,Ethernet2.11,l3_interface,,,True
pe,PE4,Ethernet5,p,P2,Ethernet5,True
pe,PE4,Ethernet6,pe,PE5,Ethernet6,True
pe,PE5,Ethernet2,l3_interface,,,True
pe,PE5,Ethernet2.10,l3_interface,,,True
pe,PE5,Ethernet2.11,l3_interface,,,True
pe,PE5,Ethernet5,rr,RR2,Ethernet5,True
pe,PE5,Ethernet6,pe,PE4,Ethernet6,True
rr,RR1,Ethernet1,pe,PE2,Ethernet1,True
rr,RR1,Ethernet2,pe,PE1,Ethernet2,True
rr,RR1,Ethernet3,rr,RR2,Ethernet3,True
rr,RR1,Ethernet4,p,P1,Ethernet4,True
rr,RR1,Ethernet5,other,EL2,Ethernet5,True
rr,RR1,Ethernet6,other,EL1,Ethernet6,True
rr,RR2,Ethernet2,pe,PE3,Ethernet2,True
rr,RR2,Ethernet3,rr,RR1,Ethernet3,True
rr,RR2,Ethernet4,p,P2,Ethernet4,True
rr,RR2,Ethernet5,pe,PE5,Ethernet5,True
